"RESEARCH DATA LIFECYCLE STAGE",TOOL CATEGORY TYPE ,DESCRIPTION (1 SENTENCE) ,EXAMPLES,
CONCEPTUALISE ,"Mind mapping, concept mapping and knowledge modelling ",Tools that define the entities of research and thier relationships,Miro,
CONCEPTUALISE ,"Mind mapping, concept mapping and knowledge modelling ",Tools that define the entities of research and thier relationships,"Meister Labs
(MindMeister + MeisterTask)",
CONCEPTUALISE ,"Mind mapping, concept mapping and knowledge modelling ",Tools that define the entities of research and thier relationships,XMind,
CONCEPTUALISE ,Diagramming and flowchart,Tools that detail the research workflow ,Lucidchart,
CONCEPTUALISE ,Diagramming and flowchart,Tools that detail the research workflow ,Draw.io (now Diagrams.net),
CONCEPTUALISE ,Diagramming and flowchart,Tools that detail the research workflow ,Creately,
CONCEPTUALISE ,Wireframing and prototyping ,Tools that visualise and demonstate the research workflow,Balsamiq,
CONCEPTUALISE ,Wireframing and prototyping ,Tools that visualise and demonstate the research workflow,(Figma),
CONCEPTUALISE ,Wireframing and prototyping ,Tools that visualise and demonstate the research workflow,,
PLAN,Data management planning (DMP),Tools focused on enabling preparation and submisssion of data management plans ,DMP Tool,
PLAN,Data management planning (DMP),Tools focused on enabling preparation and submisssion of data management plans ,DMP Online,
PLAN,Data management planning (DMP),Tools focused on enabling preparation and submission of data management plans ,RDMO,
PLAN,Project planning ,Tools designed to enable project planning,Trello,
PLAN,Project planning ,Tools designed to enable project planning,Asana,
PLAN,Project planning ,Tools designed to enable project planning,Microsoft project,
PLAN,Combined DMP/project ,Tools which combine project planning with the ability to prepare data management plans,Data Stewardship Wizard,
PLAN,Combined DMP/project ,Tools which combine project planning with the ability to prepare data management plans,Redbox research data,
PLAN,Combined DMP/project ,Tools which combine project planning with the ability to prepare data management plans,Argos,
COLLECT,Quantitative data collection tool ,Tools that collect quantitative data ,Open Data Kit,
COLLECT,Quantitative data collection tool ,Tools that collect quantitative data ,GBIF,
COLLECT,Quantitative data collection tool ,Tools that collect quantitative data ,Cedar WorkBench,
COLLECT,Qualitative data collection (e.g. Survey tool),Tools that collect qualitative data,Survey Monkey,
COLLECT,Qualitative data collection (e.g. Survey tool),Tools that collect qualitative data,Online Surveys,
COLLECT,Qualitative data collection (e.g. Survey tool),Tools that collect qualitative data,Zooniverse,
COLLECT,Harvesting tool (e.g. WebScrapers),Tools that harvest data from various sources,Netlytic,
COLLECT,Harvesting tool (e.g. WebScrapers),Tools that harvest data from various sources,IRODS,
COLLECT,Harvesting tool (e.g. WebScrapers),Tools that harvest data from various sources,DROID,
PROCESS,Electronic laboratory notebooks (ELNs),"Tools that enable aggregation, management, and organization of experimental and physical sample data",elabnext,
PROCESS,Electronic laboratory notebooks (ELNs),"Tools that enable aggregation, management, and organization of experimental and physical sample data",E-lab FTW (Open source),
PROCESS,Electronic laboratory notebooks (ELNs),"Tools that enable aggregation, management, and organization of experimental and physical sample data",RSpace (Open Source),
PROCESS,Electronic laboratory notebooks (ELNs),"Tools that enable aggregation, management, and organization of experimental and physical sample data",Lab Archives,
PROCESS,Scientific computing across all programming languages,Tools that enable creation and sharing of computational documents,Jupyter,
PROCESS,Scientific computing across all programming languages,Tools that enable creation and sharing of computational documents,Mathematica,
